Data Point Listing of File C:\NTNMR\data\Dan\LiFe.75Mn.25PO4\[100]\P31 [100] 180deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
1752455.500	-546082.188	2499980.282
1533991.875	310449.688	2495097.470
1616498.625	-33268.711	2490214.657
1401298.375	549062.813	2485331.845
2376178.250	420463.094	2480449.032
1768248.750	-71310.383	2475566.220
2066088.875	130071.008	2470683.407
1481648.375	-166030.953	2465800.595
1685132.000	-64607.168	2460917.782
1857477.125	278797.031	2456034.970
1807845.125	187046.469	2451152.157
1903264.375	145968.203	2446269.345
1602689.500	671663.625	2441386.532
1707673.000	-157464.266	2436503.720
1496480.500	522339.844	2431620.907
1955265.250	305142.406	2426738.095
1421014.375	256842.688	2421855.282
1653851.375	498952.063	2416972.470
1776103.375	185760.688	2412089.657
1943258.375	-43652.586	2407206.845
1857914.375	-253191.563	2402324.032
1933931.875	112309.859	2397441.220
1809476.500	498750.719	2392558.407
1778982.000	157020.266	2387675.595
1891237.625	103109.219	2382792.782
1338530.750	34640.168	2377909.970
1501080.375	56868.961	2373027.157
1373486.375	447635.563	2368144.345
1912247.875	-18989.148	2363261.532
1959578.625	179696.891	2358378.720
1332675.500	146221.344	2353495.907
1584786.125	616141.688	2348613.095
1876730.875	331945.219	2343730.282
2084831.375	179944.109	2338847.470
1815954.125	144129.359	2333964.657
1732440.500	514591.813	2329081.845
1886464.125	4150.728	2324199.032
1545121.125	313757.875	2319316.220
2033827.500	-60019.148	2314433.407
1797999.875	304716.969	2309550.595
1884065.875	-71043.047	2304667.782
1670307.375	562815.813	2299784.970
1499073.875	296464.281	2294902.157
1528994.250	102805.563	2290019.345
1665888.375	369244.031	2285136.532
1719148.500	323712.875	2280253.720
1841402.500	-131793.156	2275370.907
1559050.625	164444.375	2270488.095
1699486.625	431489.594	2265605.282
1735861.750	204128.203	2260722.470
1680651.875	425416.000	2255839.657
1568115.625	-167681.219	2250956.845
1580892.125	352192.000	2246074.032
1347185.500	64979.063	2241191.220
1451677.750	860590.500	2236308.407
2150098.250	300270.156	2231425.595
1468481.750	368629.406	2226542.782
1130857.000	762292.375	2221659.970
1589875.500	150111.688	2216777.157
1495327.250	447906.500	2211894.345
1787109.500	69947.305	2207011.532
1502837.750	655059.625	2202128.720
1576265.375	277782.563	2197245.907
1648482.125	399518.875	2192363.095
1242181.500	821686.500	2187480.282
1316122.500	595638.688	2182597.470
1005872.875	717273.438	2177714.657
1985791.250	97046.469	2172831.845
1303535.250	220753.281	2167949.032
1385688.000	368569.500	2163066.220
1563983.125	274882.219	2158183.407
1153310.875	217304.250	2153300.595
1308990.375	224574.391	2148417.782
1463657.875	338152.750	2143534.970
1581459.875	541823.250	2138652.157
1532416.875	-28041.412	2133769.345
1358048.625	418776.313	2128886.532
1315877.750	669816.063	2124003.720
1589810.875	670263.125	2119120.907
847944.125	944459.063	2114238.095
1925659.125	291606.938	2109355.282
1216588.125	982621.063	2104472.470
1486673.750	272627.906	2099589.657
1161577.625	648101.063	2094706.845
1384830.750	725003.313	2089824.032
1505563.375	1196536.500	2084941.220
1595175.000	451984.688	2080058.407
1579998.500	763926.688	2075175.595
1604376.125	556974.375	2070292.782
1437994.750	841254.375	2065409.970
1612960.125	671887.250	2060527.157
1036420.625	683332.375	2055644.345
898621.250	771953.938	2050761.532
1700809.875	604093.313	2045878.720
1740947.250	426294.063	2040995.907
1716574.000	864080.188	2036113.095
1625566.750	763311.063	2031230.282
1618454.500	675457.563	2026347.470
1910227.000	189121.078	2021464.657
749773.813	586225.313	2016581.845
1901400.000	546290.813	2011699.032
1269832.000	962348.750	2006816.220
2163210.750	372029.281	2001933.407
1665156.125	837610.375	1997050.595
1703192.875	951194.500	1992167.782
1403637.125	823204.938	1987284.970
1598268.875	615663.000	1982402.157
2239363.250	924941.938	1977519.345
1677022.375	992539.250	1972636.532
2170375.750	635337.813	1967753.720
1301389.250	664727.188	1962870.907
1455456.500	907829.000	1957988.095
1916968.000	452248.250	1953105.282
2102176.000	687293.000	1948222.470
1889315.375	158174.469	1943339.657
1398776.250	508777.188	1938456.845
2255089.500	534712.938	1933574.032
1272297.500	649559.375	1928691.220
1926468.000	983153.125	1923808.407
1737509.750	698022.313	1918925.595
1683307.500	1005707.500	1914042.782
1159660.125	736182.688	1909159.970
1805756.750	981880.563	1904277.157
1755582.625	492228.313	1899394.345
1151081.750	299910.219	1894511.532
2068959.250	1002672.563	1889628.720
1325947.500	1239259.500	1884745.907
1570887.750	820083.125	1879863.095
655966.313	1208179.375	1874980.282
1262530.875	499422.563	1870097.470
1538536.875	673388.188	1865214.657
1678521.125	971866.938	1860331.845
1386070.875	479738.906	1855449.032
323213.594	720512.563	1850566.220
1309443.375	944173.500	1845683.407
2189731.000	1071548.875	1840800.595
944242.375	939829.563	1835917.782
1935826.375	1349287.000	1831034.970
2019876.125	1497582.625	1826152.157
1630229.125	1835374.625	1821269.345
752281.125	632674.500	1816386.532
2052744.000	779139.438	1811503.720
1798456.000	872390.438	1806620.907
1663509.125	815755.188	1801738.095
1662719.750	1509806.000	1796855.282
2072662.750	624977.688	1791972.470
1821149.500	1287369.625	1787089.657
1452127.250	885075.500	1782206.845
1909837.375	1308079.000	1777324.032
1377388.125	1160981.125	1772441.220
1768072.000	1074054.750	1767558.407
1178358.625	1042177.563	1762675.595
1829963.000	971149.563	1757792.782
1413234.750	533070.688	1752909.970
1590440.625	1289545.875	1748027.157
1783024.750	403495.344	1743144.345
1703125.125	1842213.750	1738261.532
1507726.750	1469006.500	1733378.720
1995732.625	787604.125	1728495.907
2023842.500	1464467.750	1723613.095
2254044.500	725515.750	1718730.282
1742477.625	819569.375	1713847.470
1858267.750	563245.625	1708964.657
851940.938	751898.813	1704081.845
1934378.125	1092507.000	1699199.032
1516723.750	916210.500	1694316.220
1813234.125	1255827.375	1689433.407
1755395.625	707062.125	1684550.595
1780191.625	795781.375	1679667.782
1608374.375	982702.688	1674784.970
2113260.250	1068619.625	1669902.157
1502507.125	1533670.375	1665019.345
2195100.500	711948.438	1660136.532
1450704.625	1295740.750	1655253.720
1339458.000	934824.438	1650370.907
1487616.125	1809816.750	1645488.095
1562729.000	1554687.250	1640605.282
1853049.750	1756364.750	1635722.470
1029166.750	926937.000	1630839.657
1073278.750	1723352.375	1625956.845
1987956.250	1054118.500	1621074.032
1575941.125	776546.813	1616191.220
1918484.750	1831347.500	1611308.407
1838211.125	895903.188	1606425.595
1913403.250	1580765.000	1601542.782
1676810.875	1236416.500	1596659.970
2023622.125	839553.875	1591777.157
1907230.375	858271.125	1586894.345
1754659.750	1377762.375	1582011.532
1137421.375	775748.500	1577128.720
2017711.375	1858529.125	1572245.907
1802181.000	1887032.875	1567363.095
2102738.250	1037851.438	1562480.282
1948883.500	1352453.250	1557597.470
2008402.500	294781.375	1552714.657
1810688.500	1056807.500	1547831.845
1427607.125	1067128.250	1542949.032
1540164.625	1029754.125	1538066.220
1063945.500	785669.188	1533183.407
2286370.000	1084571.625	1528300.595
1862599.750	952321.688	1523417.782
534195.000	1218928.000	1518534.970
1350658.375	760746.938	1513652.157
1140827.375	551554.000	1508769.345
941863.375	852406.375	1503886.532
1904682.125	1116769.500	1499003.720
1486804.250	1111694.375	1494120.907
1297372.625	1087514.250	1489238.095
1341502.750	1119769.250	1484355.282
969221.563	842925.875	1479472.470
2111067.000	1131228.750	1474589.657
1251967.125	1713089.250	1469706.845
1847920.000	1085033.625	1464824.032
810745.750	1577910.750	1459941.220
1088440.625	1775638.000	1455058.407
1217080.875	1892556.625	1450175.595
1955663.625	874122.625	1445292.782
427443.313	1725852.375	1440409.970
863297.750	2223168.500	1435527.157
947719.438	1645283.625	1430644.345
1586971.875	880741.250	1425761.532
1326738.750	2815092.500	1420878.720
954666.625	1137849.250	1415995.907
1254383.250	1935228.250	1411113.095
880992.375	1432032.750	1406230.282
929915.250	1421329.250	1401347.470
1886557.750	998421.250	1396464.657
1149990.750	1916718.625	1391581.845
1171148.125	1716044.375	1386699.032
1739307.375	2077401.500	1381816.220
2777799.000	1572278.750	1376933.407
2499099.250	1486229.000	1372050.595
1614451.750	1054892.625	1367167.782
1447205.000	817863.688	1362284.970
2416238.750	2410027.250	1357402.157
1874904.625	2562544.250	1352519.345
2522826.500	1746584.250	1347636.532
1333257.625	1372776.500	1342753.720
1956517.375	1607149.125	1337870.907
1832536.375	2618175.250	1332988.095
1719629.375	531407.813	1328105.282
1605787.250	1300072.625	1323222.470
1980148.500	1124954.875	1318339.657
2057029.250	1769045.750	1313456.845
1946689.625	1360154.250	1308574.032
1690118.000	1543464.000	1303691.220
2026616.125	1108450.250	1298808.407
2290555.750	2055750.625	1293925.595
1599429.875	1286203.375	1289042.782
1809327.875	1262663.250	1284159.970
2082254.875	1389187.875	1279277.157
1530409.375	2098644.750	1274394.345
1738449.750	1574107.625	1269511.532
1827740.375	1421402.750	1264628.720
1582721.500	1895917.625	1259745.907
2215205.250	1983916.500	1254863.095
1305745.875	1477338.250	1249980.282
2585111.750	1811570.000	1245097.470
611534.313	1254858.000	1240214.657
1760140.375	2455945.000	1235331.845
178079.453	1426069.875	1230449.032
1434274.500	2353431.000	1225566.220
1158306.875	1988122.125	1220683.407
1867272.375	1537073.125	1215800.595
1447913.375	1819011.000	1210917.782
1330099.375	1268919.000	1206034.970
1661444.875	2433955.250	1201152.157
1739979.625	2521461.250	1196269.345
2010040.000	2187324.750	1191386.532
1760426.000	1884916.375	1186503.720
2160073.500	1781793.125	1181620.907
1467442.625	1318197.125	1176738.095
77817.961	2071149.750	1171855.282
