Data Point Listing of File C:\NTNMR\data\Dan\LiFePO4\[100] take 2\Li7 [100] 90deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
29004.137	-13045.563	8573.143
39006.910	-3120.605	8556.398
9686.068	15014.848	8539.653
47608.008	-12477.545	8522.909
37530.102	15664.659	8506.164
33931.801	10163.824	8489.419
23840.260	-4883.635	8472.674
35190.574	4817.886	8455.930
30495.012	2749.348	8439.185
41613.973	-13899.417	8422.440
10554.804	20433.824	8405.695
22630.852	3616.561	8388.951
18638.543	-2474.131	8372.206
52487.684	20377.975	8355.461
37398.898	-4573.029	8338.716
22712.693	-36152.891	8321.972
22783.508	27719.279	8305.227
21275.910	591.279	8288.482
19740.770	-21491.801	8271.737
27054.094	1822.739	8254.993
25404.074	27303.861	8238.248
43814.723	-17808.430	8221.503
11252.086	5322.006	8204.758
38609.848	21935.502	8188.014
40413.141	30241.879	8171.269
27503.299	4187.827	8154.524
29616.342	20088.969	8137.779
34416.000	13900.604	8121.035
42390.602	780.931	8104.290
44878.566	9556.611	8087.545
23672.604	1010.855	8070.800
32054.916	29528.596	8054.056
29168.240	-2865.039	8037.311
13196.432	21275.428	8020.566
38979.266	-22054.998	8003.821
28667.318	19254.627	7987.077
27422.137	7589.690	7970.332
26521.332	11629.169	7953.587
46170.031	-3595.648	7936.842
16415.629	-3188.087	7920.098
14238.120	24073.643	7903.353
41470.563	16411.105	7886.608
10312.569	-1687.920	7869.863
28811.541	-14006.807	7853.119
28995.039	17103.617	7836.374
28514.650	7648.210	7819.629
35033.430	21309.908	7802.884
7995.200	38466.965	7786.140
25435.523	-13590.124	7769.395
24246.102	12070.733	7752.650
66610.133	-4266.189	7735.905
44105.402	14796.595	7719.161
39810.734	-6242.580	7702.416
21067.508	21108.549	7685.671
48543.637	18754.250	7668.926
25126.182	-8070.331	7652.182
19262.402	11961.009	7635.437
48406.742	19192.447	7618.692
17571.047	33421.480	7601.947
38124.055	-3880.493	7585.203
-1281.680	19085.166	7568.458
24233.873	7127.054	7551.713
12202.461	14829.132	7534.968
11404.919	11847.956	7518.224
33019.824	25363.340	7501.479
38767.414	12761.270	7484.734
69898.656	7658.227	7467.989
21697.420	21289.541	7451.245
29865.230	28023.211	7434.500
43447.723	5725.219	7417.755
22271.059	43249.254	7401.010
41056.500	6106.461	7384.266
24866.602	-16921.789	7367.521
43229.492	-5267.459	7350.776
30816.910	-12506.292	7334.031
37627.309	43910.012	7317.287
18939.783	19309.654	7300.542
51769.465	-4936.921	7283.797
17238.154	20808.959	7267.052
40569.023	29868.713	7250.308
29318.908	-502.609	7233.563
5701.437	-20376.086	7216.818
30565.221	4774.133	7200.073
29874.336	51416.555	7183.329
25355.729	30645.520	7166.584
44447.445	12544.652	7149.839
27795.947	34591.195	7133.094
38761.477	171.300	7116.350
50794.188	27548.730	7099.605
43363.219	13558.408	7082.860
2031.131	8209.456	7066.115
