Data Point Listing of File C:\NTNMR\data\Dan\LiMnPO4\[010]\Li7 [010] 105deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
8260105.500	219738.453	8573.054
8251127.000	-103964.781	8556.309
8173155.500	108692.273	8539.564
8692221.000	332230.594	8522.820
8384428.000	1431.363	8506.075
8730828.000	-46898.043	8489.331
8302388.000	-53736.191	8472.586
8029162.500	198918.500	8455.842
7812176.000	559573.250	8439.097
8824664.000	60778.602	8422.352
8772513.000	159055.906	8405.608
8221335.000	373586.719	8388.863
8754832.000	410132.875	8372.119
8841537.000	613901.000	8355.374
8324513.500	278734.281	8338.630
8476913.000	308215.219	8321.885
8510661.000	525855.250	8305.140
8881877.000	448002.906	8288.396
8440876.000	437331.563	8271.651
8898550.000	981984.563	8254.907
8288042.000	23809.406	8238.162
8676813.000	61229.242	8221.417
8069495.000	540593.375	8204.673
8778634.000	749002.000	8187.928
8515643.000	808311.813	8171.184
8514449.000	566802.750	8154.439
8595316.000	551689.000	8137.695
8522101.000	365470.531	8120.950
8065113.500	801707.063	8104.205
8303294.500	884293.563	8087.461
8211947.000	502563.750	8070.716
7996030.000	643741.250	8053.972
8105227.500	670958.313	8037.227
8407947.000	835450.375	8020.483
8593057.000	1076789.625	8003.738
8194224.500	409878.250	7986.993
8453872.000	857408.313	7970.249
8196444.500	639677.125	7953.504
8349210.000	944782.000	7936.760
8587033.000	770940.875	7920.015
8556713.000	963952.063	7903.271
8198990.000	1183522.375	7886.526
8228879.000	875882.000	7869.781
8555649.000	1071790.875	7853.037
8362300.000	1131058.625	7836.292
8124510.000	1135039.750	7819.548
8181710.500	985497.375	7802.803
8040420.000	918828.875	7786.059
8194171.500	1372775.500	7769.314
7755215.000	1203705.750	7752.569
8390330.000	1521318.000	7735.825
8359276.000	1485328.625	7719.080
8051403.500	1543426.250	7702.336
8081678.500	1393400.875	7685.591
8291641.500	1348096.250	7668.846
8196800.000	1668592.750	7652.102
7998274.500	1369340.250	7635.357
7937429.000	1780466.000	7618.613
8127472.000	1438097.375	7601.868
8553030.000	1309404.375	7585.124
8015351.000	1748743.250	7568.379
8631530.000	1564389.625	7551.634
8585172.000	1567354.625	7534.890
8556107.000	1487194.875	7518.145
8591942.000	1829356.625	7501.401
8189546.500	1362741.750	7484.656
8253423.500	1356935.750	7467.912
8196561.500	1767618.625	7451.167
8610769.000	1653821.750	7434.422
7969103.000	2027749.000	7417.678
8221318.000	1751017.250	7400.933
8344902.000	1756842.625	7384.189
8275718.000	2046662.625	7367.444
8145485.000	2062748.500	7350.700
7929366.000	1638979.875	7333.955
8457338.000	1796891.000	7317.210
8167292.000	1594886.625	7300.466
7984705.000	2429335.750	7283.721
8335511.500	2327465.750	7266.977
7977665.000	2233310.500	7250.232
8419934.000	2501221.000	7233.488
8122464.500	2276324.500	7216.743
8347973.500	2250340.500	7199.998
8426557.000	2100544.000	7183.254
8535276.000	2538130.000	7166.509
8414963.000	2400659.750	7149.765
8339376.500	1980988.125	7133.020
8335270.000	2846810.750	7116.275
8560807.000	2625553.000	7099.531
8125766.500	2942186.250	7082.786
8319545.000	2476596.750	7066.042
8290818.500	2444726.000	7049.297
8354797.500	2686096.000	7032.553
9064486.000	2789273.000	7015.808
8526728.000	1989719.375	6999.063
7810619.500	2505897.000	6982.319
8265996.500	2550348.750	6965.574
8409025.000	2318150.000	6948.830
8418132.000	2589777.250	6932.085
8569846.000	2653867.500	6915.341
8194235.000	3010673.000	6898.596
8547833.000	2753896.750	6881.851
8548974.000	2430014.000	6865.107
7880474.000	2062777.750	6848.362
8536399.000	3416482.250	6831.618
8709792.000	2985540.250	6814.873
7500152.500	2555004.750	6798.129
8016718.500	2824143.500	6781.384
8112973.000	2960707.750	6764.639
7780903.000	2924634.000	6747.895
8056671.000	2532905.000	6731.150
7682052.000	2813438.500	6714.406
8462462.000	3852547.000	6697.661
8239334.000	3337455.000	6680.917
8677357.000	3035928.500	6664.172
8519693.000	3503579.750	6647.427
8288167.500	3075488.500	6630.683
8254176.000	3059931.750	6613.938
8325404.000	3092470.250	6597.194
8168934.000	3330569.000	6580.449
8179358.500	3907013.000	6563.705
8030099.500	3493503.500	6546.960
8614642.000	3788644.500	6530.215
8302855.000	3648992.750	6513.471
8259845.000	3635922.750	6496.726
8516625.000	3064404.000	6479.982
8776419.000	3483633.500	6463.237
8294256.000	3355819.000	6446.492
8138817.000	4108597.250	6429.748
8696133.000	3889475.500	6413.003
8116752.000	3338788.000	6396.259
8439722.000	3919337.000	6379.514
8648702.000	3676506.250	6362.770
8754850.000	3353152.500	6346.025
8425961.000	3509418.500	6329.280
8740443.000	3742697.000	6312.536
8642050.000	3968791.750	6295.791
7889108.500	3898460.000	6279.047
8193615.500	4211642.000	6262.302
8437542.000	3880472.500	6245.558
8709023.000	3864710.500	6228.813
7877327.000	3615128.750	6212.068
8371965.500	4141231.000	6195.324
8814133.000	4754079.000	6178.579
8941881.000	4033272.750	6161.835
8738984.000	4010555.750	6145.090
9159068.000	3861158.250	6128.346
8037503.500	4284814.500	6111.601
8151503.000	4350364.000	6094.856
8939364.000	4845090.000	6078.112
8759727.000	4223446.500	6061.367
8098635.000	3803364.500	6044.623
8767698.000	3898062.750	6027.878
8637950.000	3966467.250	6011.134
8812910.000	4517807.500	5994.389
8714772.000	4769868.500	5977.644
8409773.000	4195790.500	5960.900
8817334.000	4178914.000	5944.155
8307409.500	3815508.750	5927.411
8452099.000	3947141.500	5910.666
7906899.500	4230450.000	5893.921
8572440.000	4972656.500	5877.177
8483899.000	4745410.500	5860.432
8346073.500	3969720.000	5843.688
8825452.000	4570785.000	5826.943
8240056.500	4603536.000	5810.199
8260068.500	4941457.000	5793.454
8038081.500	4785517.000	5776.709
8150937.500	4885148.500	5759.965
8635102.000	4229539.500	5743.220
8134100.000	4937415.000	5726.476
8332522.500	4560243.500	5709.731
8053898.500	4961490.500	5692.987
8360962.000	4682048.000	5676.242
8311393.500	4708557.000	5659.497
8291216.000	4898251.500	5642.753
