Data Point Listing of File C:\NTNMR\data\Dan\LiFe.5Mn.5PO4\[100]\P31 [100] 30deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
188922.766	268021.125	2499980.282
361341.313	-71438.836	2495097.470
591989.438	-67125.594	2490214.657
427042.063	-20485.459	2485331.845
277285.375	71503.422	2480449.032
353128.906	-947.902	2475566.220
228481.172	-214651.734	2470683.407
295006.531	-9600.675	2465800.595
473474.313	142437.875	2460917.782
461636.875	104944.836	2456034.970
405448.313	121983.344	2451152.157
192803.953	38728.660	2446269.345
255999.969	-23877.965	2441386.532
166556.156	46049.656	2436503.720
221398.641	-71343.664	2431620.907
218873.297	211705.875	2426738.095
381167.406	10351.991	2421855.282
492394.313	31837.686	2416972.470
354123.438	-236455.953	2412089.657
159041.625	178966.781	2407206.845
374433.813	-122888.813	2402324.032
286767.063	121364.266	2397441.220
472669.656	136178.813	2392558.407
374602.656	-114835.469	2387675.595
187284.234	279017.469	2382792.782
183162.063	218202.938	2377909.970
381290.063	129156.867	2373027.157
283642.344	184143.563	2368144.345
263375.625	29602.916	2363261.532
337696.438	15102.343	2358378.720
456288.281	112630.141	2353495.907
594363.125	192130.141	2348613.095
489439.094	133237.828	2343730.282
564819.375	-95276.641	2338847.470
440821.688	184405.031	2333964.657
483564.188	7061.082	2329081.845
503758.406	-104732.078	2324199.032
252515.328	95497.102	2319316.220
434703.156	86338.242	2314433.407
82397.320	-71737.344	2309550.595
312430.625	-3360.677	2304667.782
391222.094	-142921.156	2299784.970
549899.813	203512.938	2294902.157
309241.531	27379.693	2290019.345
274136.625	384849.406	2285136.532
251905.609	-121060.734	2280253.720
360742.125	-29761.984	2275370.907
261238.031	-30216.084	2270488.095
393961.188	-154228.156	2265605.282
444481.406	-95026.844	2260722.470
612360.625	129795.297	2255839.657
463248.781	-47513.090	2250956.845
282396.781	34271.742	2246074.032
327096.156	235108.906	2241191.220
68179.430	38500.531	2236308.407
509605.750	-55291.570	2231425.595
140553.906	24080.658	2226542.782
143401.875	168264.875	2221659.970
698337.438	-69547.508	2216777.157
240935.094	205665.828	2211894.345
151661.125	24493.902	2207011.532
318195.438	276008.219	2202128.720
241446.828	178604.172	2197245.907
504312.719	90402.266	2192363.095
425175.719	120836.813	2187480.282
506705.063	-149090.594	2182597.470
275011.781	54357.277	2177714.657
357072.031	238215.953	2172831.845
314048.844	-188556.781	2167949.032
399278.906	38015.836	2163066.220
317233.063	16154.173	2158183.407
246682.781	-118024.430	2153300.595
522497.625	351049.656	2148417.782
483398.250	119968.953	2143534.970
297730.031	52357.121	2138652.157
217142.484	-76350.484	2133769.345
279830.219	179574.141	2128886.532
121658.125	-22623.168	2124003.720
306476.438	112987.070	2119120.907
203381.578	-54929.953	2114238.095
