Data Point Listing of File C:\NTNMR\data\Dan\LiFe.5Mn.5PO4\P31 [100] 105deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
227596.500	-457517.250	2499980.282
351097.000	-69201.375	2495097.470
888852.000	-70815.000	2490214.657
303103.500	-203385.500	2485331.845
510566.500	145671.375	2480449.032
327058.500	145746.250	2475566.220
733204.000	-113574.375	2470683.407
481584.500	-54094.250	2465800.595
644873.500	19284.750	2460917.782
587375.000	31297.750	2456034.970
730121.500	139391.500	2451152.157
684586.000	-8550.750	2446269.345
533982.000	-188856.500	2441386.532
476129.000	16831.750	2436503.720
644667.500	291058.500	2431620.907
503428.250	-101526.750	2426738.095
521624.750	31821.500	2421855.282
613248.000	-13642.750	2416972.470
611764.500	-129826.500	2412089.657
385657.750	-343081.000	2407206.845
445770.000	-56123.000	2402324.032
407353.500	-175720.000	2397441.220
683655.750	61132.750	2392558.407
540340.500	219945.000	2387675.595
320232.625	53751.750	2382792.782
298557.500	-63972.750	2377909.970
669412.750	-2206.750	2373027.157
640547.250	-94055.750	2368144.345
618415.250	289802.250	2363261.532
773440.000	197.250	2358378.720
832897.250	34973.750	2353495.907
413824.875	42105.000	2348613.095
622373.875	96875.250	2343730.282
301637.875	-307632.250	2338847.470
321355.000	5204.250	2333964.657
438585.375	-197588.000	2329081.845
548462.875	116532.500	2324199.032
675063.563	58908.250	2319316.220
634048.875	-36005.750	2314433.407
397003.688	-77640.875	2309550.595
625976.063	31420.750	2304667.782
449094.375	83228.250	2299784.970
303050.375	266907.250	2294902.157
650672.063	10412.250	2290019.345
660233.375	124512.000	2285136.532
479625.000	238960.250	2280253.720
729409.438	13282.750	2275370.907
272488.031	-4426.000	2270488.095
690646.563	-36976.625	2265605.282
271068.531	-108434.250	2260722.470
644186.000	219300.250	2255839.657
455802.875	288861.375	2250956.845
587152.063	-25842.250	2246074.032
632671.750	17472.625	2241191.220
286949.625	260077.750	2236308.407
621650.500	241179.500	2231425.595
575999.000	-95551.875	2226542.782
637244.188	246737.750	2221659.970
393647.500	140010.625	2216777.157
816045.813	239854.125	2211894.345
592072.500	-169813.875	2207011.532
339247.750	9575.125	2202128.720
470688.844	49016.125	2197245.907
456428.313	23700.500	2192363.095
420994.344	168600.500	2187480.282
595000.063	315228.000	2182597.470
830491.250	227602.500	2177714.657
716564.750	-233968.938	2172831.845
565551.750	-157266.500	2167949.032
923954.750	22307.500	2163066.220
510410.750	781188.625	2158183.407
576197.938	44715.125	2153300.595
686528.625	36762.375	2148417.782
309810.625	13407.250	2143534.970
609702.063	33525.750	2138652.157
948679.063	79171.375	2133769.345
329405.406	199342.250	2128886.532
182484.938	-160698.375	2124003.720
142839.938	135392.625	2119120.907
608152.438	57175.375	2114238.095
405383.094	504283.250	2109355.282
529013.563	143493.063	2104472.470
261662.297	121292.375	2099589.657
822876.375	129480.000	2094706.845
710213.125	551211.500	2089824.032
557495.375	-168197.188	2084941.220
604496.938	359283.375	2080058.407
476393.938	-78259.250	2075175.595
257952.000	-36304.438	2070292.782
1037162.313	45464.938	2065409.970
605935.625	86596.250	2060527.157
712500.688	271305.875	2055644.345
311395.750	481918.563	2050761.532
398733.063	573709.375	2045878.720
566914.688	92502.375	2040995.907
685553.125	-232058.875	2036113.095
796775.500	-67483.750	2031230.282
876517.750	174138.188	2026347.470
519304.563	387642.000	2021464.657
398889.531	281663.188	2016581.845
666400.813	313702.750	2011699.032
463371.188	-123837.813	2006816.220
541582.188	33724.813	2001933.407
681255.875	855458.938	1997050.595
738850.875	522104.500	1992167.782
395261.313	191659.125	1987284.970
682453.563	-26007.750	1982402.157
497943.188	50757.250	1977519.345
313620.813	-368712.125	1972636.532
368225.563	308834.500	1967753.720
710660.313	151029.250	1962870.907
210746.188	167419.375	1957988.095
530096.250	100944.688	1953105.282
708309.125	502359.250	1948222.470
697130.500	41773.938	1943339.657
576074.938	81119.750	1938456.845
597059.938	579848.813	1933574.032
638953.375	104515.719	1928691.220
1343279.000	190822.500	1923808.407
625603.250	-154973.563	1918925.595
451285.719	-435491.375	1914042.782
958151.188	514969.750	1909159.970
580143.500	634285.875	1904277.157
482817.594	-1037.375	1899394.345
420294.500	434642.375	1894511.532
311355.563	832427.125	1889628.720
587564.563	396067.063	1884745.907
